omitted_location,N,wins,PW,normal_CI95_low,normal_CI95_high,p_two_sided_exact_binomial
0000,997,529,0.5305917753259779,0.4996130105922612,0.5615705400596945,0.05734995281463237
0002,816,435,0.5330882352941176,0.4988565761140323,0.567319894474203,0.0634771710378594
0400,923,522,0.5655471289274107,0.5335684176743652,0.5975258401804561,7.650675957937561e-05
0401,918,480,0.5228758169934641,0.4905648672723998,0.5551867667145284,0.1759586424956517
0500,1146,602,0.525305410122164,0.4963934963218612,0.5542173239224668,0.09218284503257099
